#{"t_start": 1648178860.4584625, "env_id": null}
r,l,t
-5.0,20,53242.523705
10.0,11,53285.359151
6.0,15,53347.695919
8.0,12,53397.6103
11.0,10,53440.085669
10.0,10,53482.949818
9.0,12,53532.973072
10.0,10,53575.625245
9.0,10,53618.316778
5.0,15,53682.846407
-1.5,20,53756.407306
8.0,12,53806.360238
10.0,9,53845.528196
9.0,10,53887.76926
8.0,11,53934.073265
11.0,11,53979.977906
7.0,13,54033.804191
-1.5,20,54098.589757
7.0,14,54153.290207
-2.5,20,54210.893802
4.0,17,54281.198688
10.0,9,54316.917459
9.0,9,54356.246435
7.0,14,54407.813188
8.0,14,54457.437998
9.0,12,54504.484611
8.0,12,54550.842575
10.0,11,54594.579092
-6.0,20,54673.261477
11.0,8,54707.721709
8.0,12,54759.243562
10.0,10,54800.991374
-1.5,20,54875.809373
8.0,11,54917.963201
9.0,11,54964.003736
9.0,11,55005.923821
9.0,11,55051.970074
11.0,11,55097.582036
-2.5,20,55169.555115
11.0,8,55204.139545
9.0,11,55246.813785
9.0,12,55296.404893
9.0,10,55338.388647
11.0,9,55373.695704
4.0,18,55446.799082
-1.5,20,55489.105656
8.5,10,55531.014953
6.0,13,55580.147039
8.0,11,55622.915713
11.0,10,55665.30449
12.0,9,55704.357686
-2.5,20,55763.411719
9.0,11,55809.680136
-4.0,20,55886.080125
9.0,11,55931.827164
8.0,11,55974.39133
8.0,15,56035.832727
11.0,10,56076.933801
10.0,11,56119.30945
